"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G11278YL","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G37382BF","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G88035HT","N-linked","Subsumption","G08790WV","Core-fucosylated","Subsumption","G08790WV"
"G52461JU","Glycosphingolipid","GlycoMotif","GGM.001105","Gala series","GlycoMotif","GGM.001105"
"G66341WM","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G66341WM","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G66341WM","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G43133YJ","O-linked","GlycoMotif","GGM.001009","Core 6","GlycoMotif","GGM.001015"
"G43133YJ","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G93612YS","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G89535FF","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G66239FP","O-linked","Subsumption","G13122AV","Core 4","Subsumption","G13122AV"
"G74396CO","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G28915JJ","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G44404TC","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G44404TC","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G44404TC","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G78146WJ","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G78146WJ","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G47201SK","O-linked","GlycoMotif","GGM.001010","Core 3","GlycoMotif","GGM.001010"
"G66441ML","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G00692HC","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G00692HC","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G31726HT","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G69500TM","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G42772WO","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G95620GE","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G46410ND","N-linked","Subsumption","G41847IM","","",""
"G02618MZ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G11553OP","N-linked","GlycoMotif","GGM.001024","Bisected","Subsumption","G07083FT"
"G11553OP","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G07322TJ","Glycosphingolipid","Subsumption","G00050MO","Neo-lacto series","Subsumption","G13636IT"
"G07322TJ","Glycosphingolipid","Subsumption","G00050MO","Lacto series","Subsumption","G00050MO"
"G32902JQ","N-linked","Subsumption","G24715YN","Bisected","Subsumption","G24715YN"
"G32902JQ","N-linked","Subsumption","G24715YN","Complex","Subsumption","G07669FN"
"G82558IX","Glycosphingolipid","GlycoMotif","GGM.001109","Isoglobo series","GlycoMotif","GGM.001101"
